track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_classical_prob,predicted_country_prob,predicted_electronic_prob,predicted_jazz_prob,predicted_pop_prob,predicted_rap_prob,predicted_rnb_prob,predicted_rock_prob
6MWoRt97mnSTXZhu3ggi9C,hoax,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2fenSS68JI1h4Fo296JfGr,220042,2020-07-24,74,0.6054590570719602,0.16369359916054568,8,0.3760491299897646,1,0.0415,0.9847094544042811,4.2511013215859036e-06,0.133,0.41787721344502177,0.4076286934370347,3,jazz,0.9523809523809523,0.047619047619047616,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0
0ztDBQdQmdVZvorSmIjMih,Tagpuan,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,05rQadwAVYTpNNnBoeTuj0,260240,2018-02-19,66,0.48635235732009935,0.10073452256033578,8,0.6568679631525076,1,0.0345,0.8786950049406301,0.0,0.0788,0.2736719329869579,0.5088420974907395,3,jazz,0.9523809523809523,0.0,0.0,0.0,0.9523809523809523,0.047619047619047616,0.0,0.0,0.0
0hNduWmlWmEmuwEFcYvRu1,Sunset Lover,6gK1Uct5FEdaUWRWpU4Cl2,Petit Biscuit,4Ky2PpWb26OxNabAMffyBw,237792,2015,77,0.7555831265508683,0.4637985309548794,6,0.6049539406345956,1,0.0503,0.7431188339919228,0.8909691629955949,0.109,0.21323295514791646,0.23545699553280253,3,jazz,0.9523809523809523,0.0,0.0,0.047619047619047616,0.9523809523809523,0.0,0.0,0.0,0.0
6pz4tdLoIDJdnpXnisSDCK,Halaga,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,58vdgBfvgzQFZ2VreSPGmU,352120,1999,62,0.39081885856079407,0.5718782791185729,2,0.6162947799385874,1,0.0364,0.1345551192823107,1.5308370044052866e-06,0.27399999999999997,0.6447884635775634,0.5040303227950135,7,rock,0.9047619047619048,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.9047619047619048
5Pw4Q2Z2NttJtISFFxe9MK,la la la that’s how it goes,0Vw76uk7P8yVtTClWyOhac,HONNE,3DG5MS8iKYcJROCnb1DYDf,219080,2020-07-03,62,0.7667493796526055,0.5383001049317944,11,0.6200614124872057,1,0.0416,0.009060514729713868,0.9691629955947137,0.107,0.9172940303255224,0.43641319730737527,3,jazz,0.9047619047619048,0.0,0.0,0.09523809523809523,0.9047619047619048,0.0,0.0,0.0,0.0
4lelBtLnt1mEfH6MlVp5yG,Pangako sa Pasko,7or90S16MNx8VogdeOqlKq,Cocoy Claravall,4Y92CJiB5353tKM4yLsJEO,368340,2018-12-16,40,0.1600496277915633,0.11017838405036727,0,0.3028863868986693,1,0.032,0.9806319755787561,0.40308370044052866,0.319,0.11992365602799282,0.27259134372807925,0,classical,0.9047619047619048,0.9047619047619048,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0
31Z8a8TVSOK5qMtkCfp05m,Lead Me Lord,0RHiqaoRCsFLPeEuj3OQz4,Gary Valenciano,00NsXSlAdpOJuQCrec9Zpe,251356,2000,60,0.401985111662531,0.2497376705141658,8,0.48270214943705214,1,0.0299,0.9153923143703555,0.0,0.138,0.22383628459336236,0.1501064497471049,3,jazz,0.9047619047619048,0.09523809523809523,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.0
2iOnWSWcChoGmUufbrQ00e,Tagu-Taguan,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,05rQadwAVYTpNNnBoeTuj0,249160,2018-02-19,59,0.5694789081885856,0.26757607555089197,2,0.534616171954964,1,0.0389,0.847094544042811,9.724669603524231e-05,0.113,0.12416498780617113,0.217766647386751,3,jazz,0.9047619047619048,0.047619047619047616,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.047619047619047616
6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,3T4tUhGYeRNVUGevb0wThu,261153,2017-03-03,80,0.35607940446650127,0.8488982161594966,2,0.7935312180143295,1,0.0989,0.02364769522802969,1.2555066079295157e-05,0.14,0.46241119711589446,0.5072361215373067,7,rock,0.9047619047619048,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.9047619047619048
5qqabIl2vWzo9ApSC317sa,Wonderwall - Remastered,2DaxqgrOhkeH0fpeiQq2f4,Oasis,1VW1MFNstaJuygaoTPkdCk,258773,1995-10-02,80,0.25310173697270466,0.9139559286463799,2,0.8263664278403274,1,0.0407,0.0004590731472688002,0.0,0.19399999999999998,0.4602905312268052,0.7490247234152525,7,rock,0.9047619047619048,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.9047619047619048
6qt0IWS8y6yGR6gNTEmQzj,Viva La Vida - Live from Spotify London,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,573eP6oKtAJDqnpco7Fn9c,234026,2016-12-16,64,0.32133995037220847,0.9412381951731377,8,0.714431934493347,1,0.12,0.1253807919248794,5.286343612334802e-06,0.93,0.49316085250768743,0.5269016355111434,7,rock,0.9047619047619048,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.9047619047619048
4VuS959DSpr82t3qBqCrWG,Supermarket Flowers,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,3T4tUhGYeRNVUGevb0wThu,221106,2017-03-03,80,0.5148883374689825,0.22770199370409233,6,0.5622517911975433,1,0.0442,0.9317022296724556,0.0,0.0887,0.2354999469833528,0.22875619931330682,3,jazz,0.9047619047619048,0.09523809523809523,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.0
57p8CBvPOxrvyCbn6ttl5r,Would You Ever,5he5w2lnU9x7JFhnwcekXX,Skrillex,2czvZrAe1DWj6uc4iOqtJX,234285,2017-07-26,67,0.5942928039702233,0.9286463798530956,10,0.8552712384851585,1,0.0566,0.008051338720396421,0.0,0.318,0.06065104442795037,0.45210376696735144,2,electronic,0.9047619047619048,0.0,0.047619047619047616,0.9047619047619048,0.0,0.047619047619047616,0.0,0.0,0.0
4A2rEYOoZy3PQwfP7o0ryc,Jules,30mZI7Hw2MhoarTVYxfyZM,Unique Salonga,0VF88sHKjbSWtm1wFHTSAg,262906,2018-08-13,0,0.5496277915632755,0.26023084994753415,4,0.5316274309109518,1,0.0294,0.8766562655278677,0.0,0.14800000000000002,0.26306860354151207,0.3533577819072349,3,jazz,0.9047619047619048,0.09523809523809523,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.0
